,機車等級,使用頻率,使用距離
1368,R,F,higher_40
1369,N,U,less_5
1370,N,U,less_40
1371,N,U,less_5
1372,N,U,less_15
1373,N,U,less_15
1374,R,F,higher_40
1375,N,F,less_5
1376,N,U,less_5
1377,N,U,less_40
1378,N,U,less_15
1379,N,U,less_5
1380,N,U,less_15
1381,N,U,less_40
1382,N,U,less_5
1383,N,,
1384,N,U,less_40
1385,N,U,less_5
1386,Y,F,less_5
1387,Y,U,less_15
1388,N,U,less_15
1389,N,U,less_15
1390,N,U,less_40
1391,N,U,less_15
1392,N,U,less_40
1393,N,U,less_15
1394,N,U,less_5
1395,N,U,less_40
1396,N,U,
1397,N,F,less_5
1398,N,U,less_5
1399,N,U,less_40
1400,N,U,less_15
1401,N,U,less_5
1402,S,F,higher_40
1403,S,U,less_5
1404,S,F,
1405,R,F,higher_40
1406,S,U,less_5
1407,S,U,less_15
1408,S,F,less_5
1409,S,U,less_5
1410,S,F,less_5
1411,S,U,less_5
1412,S,F,less_5
1413,S,U,less_5
1414,S,F,less_5
1415,S,U,less_5
1416,S,U,less_5
1417,S,U,less_15
1418,N,U,less_15
1419,N,U,less_5
1420,N,U,less_15
1421,N,U,less_40
1422,N,U,less_15
1423,N,U,
1424,N,U,higher_40
1425,N,U,less_15
1426,N,U,less_5
1427,N,U,less_5
1428,N,U,less_5
1429,N,U,
1430,N,U,less_40
1431,N,U,less_40
1432,N,U,less_5
1433,N,F,less_5
1434,N,,
1435,N,U,less_40
1436,N,U,less_5
1437,N,F,less_5
1438,N,U,less_15
1439,N,F,
1440,N,U,less_5
1441,N,U,less_5
1442,N,U,less_15
1443,N,,less_5
1444,N,U,less_5
1445,N,U,less_40
1446,N,F,less_5
1447,N,U,less_5
1448,N,U,less_40
1449,N,U,less_40
1450,N,U,less_5
1451,N,U,less_5
1452,N,U,
1453,N,U,less_5
1454,N,U,less_40
1455,N,F,less_5
1456,N,U,less_40
1457,N,U,less_40
1458,N,U,less_15
1459,N,U,less_5
1460,N,F,less_15
1461,S,U,less_15
1462,S,U,less_40
1463,S,,
1464,S,F,less_5
1465,S,U,less_5
1466,S,U,less_5
1467,S,U,less_5
1468,S,F,less_5
1469,S,U,less_15
1470,S,U,less_5
1471,S,U,less_15
1472,S,F,less_5
1473,S,F,less_40
1474,S,U,less_40
1475,S,,
1476,S,U,less_40
1477,S,U,less_15
1478,S,U,less_15
1479,S,U,less_40
1480,S,U,less_5
1481,S,U,less_5
1482,S,U,less_5
1483,N,U,higher_40
1484,N,U,less_40
1485,N,U,less_40
1486,N,U,less_40
1487,N,U,less_40
1488,N,U,less_40
1489,N,U,less_15
1490,N,U,less_5
1491,N,U,less_40
1492,N,U,less_15
1493,N,U,less_40
1494,N,U,less_40
1495,S,U,less_5
1496,N,U,less_40
1497,N,U,less_5
1498,N,U,less_5
1499,N,U,less_5
1500,N,U,less_5
1501,N,U,less_5
1502,N,U,less_5
1503,N,,
1504,N,F,less_5
1505,N,U,less_15
1506,N,U,less_40
1507,N,U,less_15
1508,N,F,less_5
1509,N,U,less_15
1510,N,U,less_5
1511,N,U,less_5
1512,N,U,less_15
1513,N,U,less_40
1514,N,U,less_40
1515,N,F,less_5
1516,N,U,less_40
1517,N,U,less_5
1518,N,U,less_40
1519,N,U,less_40
1520,N,U,less_15
1521,N,U,less_15
1522,N,U,less_15
1523,N,U,less_40
1524,Y,U,higher_40
1525,N,U,less_40
1526,N,U,less_5
1527,N,U,less_40
1528,N,U,higher_40
1529,N,U,less_40
1530,R,F,less_40
1531,N,U,higher_40
1532,N,,
1533,N,F,less_5
1534,N,U,less_5
1535,N,F,less_5
1536,N,U,less_40
1537,N,U,less_40
1538,Y,U,less_15
1539,Y,F,higher_40
1540,N,U,less_15
1541,N,U,less_40
1542,N,U,less_5
1543,N,F,less_15
1544,N,F,less_15
1545,N,F,less_5
1546,R,U,less_15
1547,S,,
1548,S,U,less_15
1549,S,U,less_5
1550,S,F,less_5
1551,S,F,less_40
1552,S,U,less_15
1553,N,U,less_40
1554,N,U,less_15
1555,N,U,
1556,N,U,less_5
1557,N,U,less_15
1558,N,U,less_15
1559,N,U,
1560,N,U,less_5
1561,N,U,less_5
1562,N,U,less_15
1563,N,U,less_15
1564,N,U,less_15
1565,N,F,less_5
1566,N,U,less_15
1567,N,U,less_15
1568,N,U,less_5
1569,N,U,less_5
1570,N,,
1571,N,U,less_40
1572,N,U,less_5
1573,N,U,less_40
1574,N,U,less_40
1575,N,U,less_40
1576,N,U,less_5
1577,N,U,less_40
1578,N,U,less_40
1579,N,U,less_15
1580,N,U,less_5
1581,N,U,less_40
1582,N,U,less_40
1583,S,U,less_15
1584,S,,
1585,S,F,less_5
1586,S,F,less_40
1587,S,U,less_40
1588,S,U,less_15
1589,S,F,less_15
1590,S,,
1591,N,F,less_15
1592,N,U,less_5
1593,N,U,less_40
1594,N,U,less_15
1595,N,U,less_15
1596,N,U,less_40
1597,N,U,less_5
1598,N,U,higher_40
1599,N,U,less_40
1600,N,U,less_40
1601,N,U,less_40
1602,N,U,
1603,N,U,higher_40
1604,N,U,less_5
1605,N,F,less_40
1606,N,U,less_5
1607,N,U,less_15
1608,N,U,less_15
1609,N,U,less_40
1610,Y,U,higher_40
1611,N,U,less_15
1612,N,,
1613,N,U,
1614,N,U,less_40
1615,N,U,less_15
1616,N,U,less_5
1617,N,U,less_5
1618,N,U,less_15
1619,N,U,less_5
1620,N,U,less_40
1621,N,U,less_40
1622,N,U,less_40
1623,N,U,less_15
1624,N,U,less_15
1625,N,U,less_40
1626,N,U,less_40
1627,N,U,less_40
1628,,F,higher_40
1629,N,U,less_15
1630,,F,less_5
1631,N,U,less_15
1632,N,U,less_40
1633,N,U,less_5
1634,N,U,less_15
1635,N,U,less_40
1636,N,U,less_40
1637,N,U,less_40
1638,Y,U,less_40
1639,N,U,higher_40
1640,N,U,less_5
1641,N,U,less_5
1642,N,U,less_40
1643,N,U,less_40
1644,N,F,less_15
1645,N,U,less_40
1646,S,F,less_5
1647,S,U,less_5
1648,N,F,less_5
1649,N,U,less_40
1650,N,,
1651,N,F,less_15
1652,N,U,less_5
1653,N,U,less_40
1654,N,F,less_15
1655,N,U,less_5
1656,N,U,less_40
1657,N,U,less_40
1658,N,U,less_40
1659,N,U,less_5
1660,N,U,less_5
1661,N,U,less_15
1662,N,U,less_40
1663,N,U,less_40
1664,N,U,less_5
1665,N,U,less_40
1666,N,U,less_40
1667,N,U,less_15
1668,N,U,less_40
1669,N,U,less_15
1670,N,F,less_40
1671,N,F,less_5
1672,N,U,less_40
1673,S,,
1674,S,U,less_5
1675,S,U,less_5
1676,S,U,less_5
1677,S,U,less_5
1678,N,U,
1679,N,U,less_5
1680,N,U,less_15
1681,N,U,less_40
1682,N,U,less_15
1683,N,F,less_15
1684,N,U,less_15
1685,N,U,less_15
1686,N,,
1687,Y,U,less_40
1688,N,U,less_40
1689,N,U,less_15
1690,N,U,less_5
1691,N,U,less_15
1692,N,U,less_40
1693,N,U,less_5
1694,N,U,less_15
1695,N,U,less_15
1696,N,U,less_40
1697,N,U,less_40
1698,N,U,less_5
1699,N,U,less_40
1700,N,U,less_5
1701,N,U,less_5
1702,N,U,less_5
1703,N,U,less_5
1704,N,U,less_15
1705,N,U,less_5
1706,N,U,less_15
1707,N,U,less_5
1708,N,U,less_40
1709,N,U,less_5
1710,N,U,higher_40
1711,N,U,less_40
1712,N,U,less_5
1713,N,U,less_5
1714,N,U,less_5
1715,N,U,less_5
1716,N,F,less_5
1717,N,U,less_40
1718,S,U,less_5
1719,N,U,less_5
1720,N,U,less_40
1721,N,U,less_15
1722,N,U,less_15
1723,N,U,higher_40
1724,N,U,less_5
1725,,U,less_5
1726,N,U,less_40
1727,N,F,higher_40
1728,N,U,less_15
1729,Y,U,higher_40
1730,Y,F,less_40
1731,Y,F,less_15
1732,Y,F,less_40
1733,N,U,less_15
1734,N,U,less_5
1735,N,U,less_15
1736,N,U,less_40
1737,N,U,less_5
1738,N,U,less_40
1739,S,U,less_5
1740,S,U,less_15
1741,N,U,less_5
1742,N,,
1743,N,,
1744,N,U,less_40
1745,N,U,less_40
1746,N,U,less_15
1747,N,U,less_15
1748,N,F,less_15
1749,N,U,less_15
1750,N,F,less_15
1751,N,U,less_5
1752,N,U,less_15
1753,N,F,less_5
1754,N,U,less_15
1755,N,U,less_5
1756,N,U,less_5
1757,N,U,less_5
1758,N,U,less_40
1759,N,U,less_15
1760,N,U,less_15
1761,N,U,less_40
1762,N,U,less_15
1763,N,U,less_5
1764,S,U,less_5
1765,S,U,less_5
1766,S,U,
1767,S,U,less_15
1768,S,U,
1769,S,U,less_5
1770,S,U,less_5
1771,N,U,higher_40
1772,N,U,less_15
1773,N,U,less_40
1774,N,F,less_5
1775,N,U,less_5
1776,N,F,less_5
1777,N,U,less_40
1778,N,U,less_15
1779,N,U,less_5
1780,N,U,less_40
1781,N,U,less_5
1782,N,U,less_40
1783,N,U,less_15
1784,N,U,less_15
1785,N,U,less_5
1786,N,U,less_15
1787,N,U,less_40
1788,N,U,less_40
1789,N,U,less_40
1790,N,U,less_40
1791,N,U,less_40
1792,N,U,less_5
1793,N,U,less_15
1794,R,F,
1795,N,U,less_15
1796,R,F,less_5
1797,R,F,higher_40
1798,N,F,less_5
1799,N,U,less_15
1800,N,U,less_5
1801,N,F,less_5
1802,N,U,less_15
1803,N,U,less_40
1804,N,F,less_15
1805,S,U,less_15
1806,S,U,
1807,S,U,less_5
1808,N,U,
1809,N,U,less_40
1810,N,U,less_5
1811,N,U,less_40
1812,N,U,less_5
1813,N,U,less_15
1814,N,U,higher_40
1815,N,U,less_15
1816,N,U,less_5
1817,N,U,less_5
1818,N,U,less_5
1819,N,U,less_40
1820,N,U,less_15
1821,N,U,less_5
1822,R,F,less_40
1823,N,F,less_5
1824,S,U,less_5
1825,N,U,less_5
1826,S,U,
1827,N,U,less_15
1828,N,U,less_5
1829,N,U,less_40
1830,N,F,less_5
1831,N,U,less_15
1832,N,U,less_40
1833,N,U,less_40
1834,N,U,less_5
1835,N,U,less_5
1836,N,U,less_5
1837,N,U,less_5
1838,N,F,less_15
1839,S,U,less_15
1840,N,U,less_5
1841,N,U,less_40
1842,N,U,less_15
1843,N,U,less_5
1844,N,U,higher_40
1845,N,U,less_40
1846,N,U,less_5
1847,N,U,less_40
1848,N,U,less_40
1849,N,U,less_5
1850,N,U,less_15
1851,N,F,less_40
1852,R,U,higher_40
1853,R,F,less_40
1854,N,U,less_40
1855,N,U,less_40
1856,N,U,less_5
1857,N,U,less_5
1858,N,,
1859,N,U,less_40
1860,N,U,less_15
1861,N,U,less_5
1862,N,F,less_5
1863,N,U,less_5
1864,N,F,less_15
1865,N,U,less_5
1866,N,U,less_5
1867,N,U,less_5
1868,N,U,less_5
1869,N,U,
1870,N,U,less_40
1871,N,U,less_5
1872,N,U,less_40
1873,N,U,less_15
1874,N,U,less_5
1875,N,U,less_40
1876,N,U,less_15
1877,S,U,less_5
1878,S,U,less_40
1879,S,U,less_5
1880,S,U,less_5
1881,S,U,less_5
1882,S,U,less_5
1883,S,U,less_5
1884,N,F,less_40
1885,N,F,less_40
1886,N,U,less_15
1887,N,U,less_5
1888,N,U,less_15
1889,N,U,less_5
1890,N,U,less_40
1891,N,U,less_5
1892,N,U,less_15
1893,N,U,less_40
1894,N,F,less_15
1895,N,U,less_40
1896,N,U,higher_40
1897,N,U,less_15
1898,N,U,less_5
1899,N,F,less_15
1900,N,U,less_15
1901,N,U,less_5
1902,N,U,less_5
1903,N,U,less_5
1904,N,U,less_15
1905,N,U,less_5
1906,N,U,less_15
1907,N,U,less_15
1908,N,F,less_15
1909,N,U,less_5
1910,N,U,less_15
1911,N,U,less_40
1912,N,U,less_5
1913,N,U,less_15
1914,R,F,higher_40
1915,S,U,less_5
1916,N,U,less_40
1917,N,U,less_15
1918,N,U,less_5
1919,R,F,higher_40
1920,N,F,less_5
1921,N,U,higher_40
1922,N,U,less_5
1923,N,U,less_5
1924,S,U,less_5
1925,Y,F,less_15
1926,N,U,less_40
1927,N,U,less_40
1928,Y,U,less_40
1929,N,U,less_40
1930,N,U,less_5
1931,N,U,less_40
1932,N,U,less_15
1933,N,U,less_5
1934,N,U,less_40
1935,R,F,higher_40
1936,N,U,less_40
1937,N,U,less_5
1938,S,U,less_15
1939,S,U,less_5
1940,N,U,less_5
1941,N,U,higher_40
1942,N,U,less_15
1943,N,U,less_40
1944,N,U,less_15
1945,N,U,less_40
1946,Y,F,higher_40
1947,N,U,less_40
1948,N,U,
1949,N,U,less_40
1950,N,U,less_5
1951,N,U,less_40
1952,N,U,less_5
1953,N,U,less_5
1954,N,U,less_40
1955,N,U,less_5
1956,N,U,less_40
1957,N,U,less_15
1958,N,U,less_5
1959,S,U,less_5
1960,N,U,less_40
1961,N,U,less_5
1962,N,U,less_5
1963,N,U,less_5
1964,N,U,less_15
1965,N,U,less_40
1966,N,U,less_5
1967,N,U,less_5
1968,N,U,less_5
1969,N,U,less_15
1970,N,U,less_40
1971,Y,U,less_40
1972,N,U,less_15
1973,N,U,less_5
1974,N,U,less_40
1975,S,,
1976,S,F,less_5
1977,N,U,less_15
1978,S,U,less_40
1979,N,U,less_40
1980,N,,
1981,N,U,less_15
1982,N,U,less_15
1983,R,F,less_40
1984,N,U,less_40
1985,N,U,less_5
1986,N,U,less_40
1987,N,U,less_15
1988,N,U,less_40
1989,N,U,less_15
1990,N,U,less_40
1991,N,U,less_5
1992,N,U,less_5
1993,N,U,less_5
1994,N,U,less_40
1995,N,U,less_40
1996,N,U,less_40
1997,N,U,less_15
1998,N,U,less_15
1999,N,U,higher_40
2000,N,F,less_40
2001,N,F,higher_40
2002,N,U,less_15
2003,N,U,less_40
2004,N,U,less_40
2005,N,U,less_5
2006,N,U,less_15
2007,N,U,less_15
2008,N,U,less_15
2009,N,U,less_40
2010,N,U,less_40
2011,S,U,less_5
2012,N,U,less_5
2013,N,U,less_40
2014,N,U,
2015,N,U,less_40
2016,N,U,less_40
2017,N,U,less_5
2018,N,U,higher_40
2019,N,U,less_15
2020,N,U,less_15
2021,N,U,less_15
2022,N,U,less_15
2023,N,U,less_5
2024,N,U,less_40
2025,N,U,
2026,N,U,
2027,N,U,less_40
2028,Y,U,less_40
2029,N,U,
2030,N,U,less_40
2031,N,U,less_40
2032,N,F,less_5
2033,N,U,less_40
2034,N,U,less_40
2035,N,U,less_40
2036,N,U,less_15
2037,N,U,less_15
2038,N,U,less_5
2039,N,U,less_15
2040,Y,F,higher_40
2041,N,U,less_40
2042,N,U,less_15
2043,N,U,less_5
2044,N,U,less_15
2045,N,U,less_15
2046,N,U,less_15
2047,N,U,less_40
2048,N,U,less_5
2049,N,U,
2050,N,U,less_5
2051,N,U,less_40
2052,N,U,less_15
2053,N,U,
2054,N,U,less_15
2055,N,U,less_40
2056,N,U,less_40
2057,N,U,higher_40
2058,N,U,less_40
2059,N,U,less_40
2060,N,U,less_15
2061,N,U,less_5
2062,N,U,less_40
2063,S,U,less_15
2064,N,U,less_5
2065,N,F,less_40
2066,N,U,less_40
2067,N,U,less_5
2068,N,U,less_40
2069,N,U,less_40
2070,N,U,less_40
2071,N,U,less_5
2072,N,U,less_5
2073,N,U,less_5
2074,N,U,less_15
2075,N,U,
2076,N,U,less_5
2077,N,U,less_5
2078,N,U,less_15
2079,N,U,less_40
2080,N,U,less_40
2081,N,U,less_40
2082,N,U,less_40
2083,N,U,higher_40
2084,N,U,less_40
2085,N,U,less_5
2086,N,U,less_40
2087,N,U,less_40
2088,N,U,less_40
2089,N,U,less_5
2090,N,U,less_40
2091,N,U,less_5
2092,N,U,less_40
2093,R,U,less_40
2094,N,U,less_5
2095,N,U,less_40
2096,N,U,less_5
2097,N,F,less_5
2098,N,U,less_15
2099,N,U,less_40
2100,N,U,less_40
2101,N,F,less_40
2102,N,U,less_5
2103,N,U,less_40
2104,N,U,less_5
2105,N,U,less_40
2106,N,F,less_5
2107,N,U,less_15
2108,N,U,less_5
2109,N,U,less_15
2110,N,U,less_40
2111,N,U,less_5
2112,N,U,less_40
2113,N,,
2114,N,U,less_40
2115,N,F,less_15
2116,N,U,less_5
2117,N,U,less_15
2118,N,U,less_5
2119,N,U,less_5
2120,N,U,less_5
2121,Y,F,less_5
2122,Y,F,higher_40
2123,Y,F,higher_40
2124,Y,U,less_15
2125,N,U,less_5
2126,N,U,
2127,N,U,less_40
2128,N,F,less_15
2129,N,U,
2130,N,F,less_5
2131,N,U,less_15
2132,N,U,less_5
2133,N,U,less_40
2134,N,U,less_15
2135,N,U,less_15
2136,N,F,less_15
2137,N,U,less_15
2138,N,U,less_40
2139,N,U,less_40
2140,N,F,less_5
2141,N,U,less_5
2142,N,U,less_5
2143,N,,
2144,N,U,less_5
2145,N,F,less_40
2146,N,U,less_5
2147,N,U,less_15
2148,N,U,less_15
2149,N,F,less_5
2150,N,F,less_5
2151,N,U,less_5
2152,N,U,less_5
2153,N,U,higher_40
2154,N,U,less_40
2155,N,U,
2156,N,U,less_5
2157,N,U,less_5
2158,N,F,less_5
2159,N,U,less_5
2160,N,U,less_15
2161,N,U,less_5
2162,S,U,less_15
2163,S,U,higher_40
2164,S,U,less_5
2165,S,U,less_40
2166,S,F,
2167,S,U,less_15
2168,R,F,less_40
2169,S,U,less_15
2170,S,U,less_5
2171,S,U,less_40
2172,S,U,less_15
2173,S,U,less_15
2174,S,U,less_5
2175,S,,
2176,S,F,less_5
2177,S,,
2178,S,U,less_5
2179,N,U,less_15
2180,N,U,less_15
2181,N,U,less_5
2182,N,F,less_15
2183,N,U,less_5
2184,N,U,less_40
2185,N,U,less_15
2186,N,U,less_15
2187,N,U,less_15
2188,N,U,less_40
2189,N,U,less_5
2190,N,U,less_15
2191,N,F,less_5
2192,N,U,less_40
2193,N,F,less_15
2194,N,U,less_5
2195,N,U,less_5
2196,N,F,less_15
2197,N,U,less_5
2198,N,U,less_5
2199,N,U,less_40
2200,S,U,less_5
2201,S,U,
2202,S,U,less_5
2203,S,F,less_5
2204,S,U,less_5
2205,S,U,less_15
2206,S,F,less_40
2207,S,U,less_15
2208,S,U,less_5
2209,N,U,less_40
2210,N,U,
2211,N,U,less_40
2212,N,U,less_15
2213,N,U,less_40
2214,N,U,
2215,N,U,less_15
2216,N,F,less_5
2217,N,U,less_15
2218,N,U,less_40
2219,N,U,less_40
2220,N,F,less_5
2221,N,U,less_40
2222,N,U,less_40
2223,N,U,less_40
2224,N,U,less_40
2225,N,U,less_15
2226,N,F,less_5
2227,N,U,less_15
2228,N,U,less_15
2229,N,,
2230,N,U,less_40
2231,N,U,less_15
2232,N,U,less_15
2233,N,U,less_40
2234,N,U,less_40
2235,N,U,higher_40
2236,N,U,less_15
2237,R,U,less_15
2238,N,U,less_5
2239,N,U,less_5
2240,N,U,less_5
2241,N,U,less_5
2242,N,U,less_5
2243,N,U,less_40
2244,N,U,less_5
2245,N,U,less_40
2246,Y,U,less_40
2247,Y,F,higher_40
2248,N,U,less_15
2249,N,U,less_40
2250,N,U,less_5
2251,R,F,
2252,N,U,less_40
2253,N,U,less_15
2254,N,U,less_5
2255,N,F,less_15
2256,N,U,less_40
2257,N,U,less_5
2258,N,F,less_5
2259,N,U,less_5
2260,N,U,less_15
2261,N,U,less_15
2262,N,U,less_5
2263,S,U,less_15
2264,N,U,less_40
2265,N,U,less_5
2266,N,U,less_40
2267,N,U,
2268,N,U,less_5
2269,N,,
2270,N,U,less_40
2271,N,U,less_40
2272,N,U,less_40
2273,N,U,less_5
2274,N,U,less_40
2275,N,U,less_5
2276,N,U,
2277,N,U,less_5
2278,N,U,less_5
2279,N,U,less_5
2280,N,U,less_5
2281,N,U,less_40
2282,N,U,less_40
2283,N,U,less_15
2284,N,U,less_5
2285,N,U,less_5
2286,N,U,less_40
2287,N,U,less_40
2288,N,U,less_5
2289,N,U,less_5
2290,N,U,
2291,N,U,less_15
2292,N,U,less_40
2293,N,U,less_5
2294,N,U,less_15
2295,N,U,less_15
2296,S,,
2297,S,U,less_5
2298,S,U,higher_40
2299,N,U,less_15
2300,N,U,less_40
2301,N,U,less_5
2302,S,U,less_15
2303,S,F,less_40
2304,N,U,less_5
2305,N,U,
2306,N,U,less_15
2307,N,U,less_40
2308,Y,U,less_40
2309,N,U,less_40
2310,N,U,less_40
2311,N,U,less_40
2312,N,U,less_5
2313,N,U,less_40
2314,N,U,less_15
2315,N,,
2316,N,U,less_5
2317,S,U,less_5
2318,S,U,less_40
2319,S,U,less_15
2320,N,U,less_5
2321,S,U,
2322,Y,U,less_40
2323,N,U,less_40
2324,N,U,less_40
2325,N,F,less_40
2326,N,U,higher_40
2327,N,U,less_40
2328,N,U,less_5
2329,N,U,less_5
2330,N,U,less_40
2331,N,U,less_5
2332,N,U,less_15
2333,N,U,less_5
2334,N,U,less_5
2335,N,F,less_5
2336,N,U,higher_40
2337,N,U,less_5
2338,N,F,less_5
2339,N,U,less_40
2340,S,U,less_40
2341,S,U,less_15
2342,N,U,less_5
2343,Y,U,less_40
2344,N,F,less_15
2345,N,U,less_5
2346,N,F,less_5
2347,N,U,higher_40
2348,N,U,less_5
2349,R,F,less_40
2350,N,U,less_40
2351,N,U,less_5
2352,N,U,less_5
2353,N,U,less_40
2354,N,U,less_5
2355,S,U,less_5
2356,N,U,less_5
2357,N,U,less_15
2358,N,U,less_40
2359,N,U,less_40
2360,S,U,less_5
2361,N,U,less_5
2362,N,U,less_5
2363,N,U,less_40
2364,N,U,less_40
2365,N,U,less_5
2366,N,U,less_15
2367,N,F,less_5
2368,N,U,less_5
2369,N,F,less_15
2370,N,F,less_5
2371,N,,
2372,N,F,less_40
2373,N,U,less_15
2374,S,U,less_5
2375,S,U,less_15
2376,N,U,less_5
2377,N,U,less_5
2378,N,U,less_5
2379,S,F,less_5
2380,S,F,less_40
2381,N,,
2382,N,F,less_5
2383,N,U,less_40
2384,N,U,
2385,N,U,less_15
2386,N,U,less_15
2387,N,U,less_40
2388,N,F,less_15
2389,N,U,less_40
2390,N,U,less_5
2391,S,U,less_5
2392,N,U,less_40
2393,N,U,less_40
2394,N,U,less_15
2395,N,U,higher_40
2396,N,U,less_40
2397,N,U,less_5
2398,N,U,less_5
2399,N,U,less_40
2400,N,U,less_15
2401,N,U,less_40
2402,N,U,higher_40
2403,N,,
2404,N,U,
2405,N,U,less_15
2406,N,U,less_5
2407,N,U,less_5
2408,N,F,less_5
2409,N,F,
2410,S,U,less_5
2411,N,U,higher_40
2412,N,U,less_40
2413,S,U,less_5
2414,N,F,less_40
2415,S,U,
2416,N,U,less_5
2417,N,U,less_40
2418,N,,
2419,N,U,less_40
2420,N,U,less_5
2421,N,U,less_5
2422,N,U,
2423,N,U,less_40
2424,N,U,less_40
2425,N,U,less_5
2426,N,U,less_5
2427,N,U,less_40
2428,N,U,less_5
2429,N,U,less_40
2430,N,U,less_5
2431,N,U,higher_40
2432,N,U,less_40
2433,N,U,less_5
2434,Y,F,less_40
2435,N,U,less_40
2436,N,U,less_15
2437,N,U,less_15
2438,Y,F,higher_40
2439,N,U,less_5
2440,N,U,less_40
2441,N,U,less_40
2442,N,U,less_15
2443,N,F,less_5
2444,N,U,
2445,Y,F,less_5
2446,N,U,less_15
2447,N,U,
2448,N,U,less_40
2449,N,U,less_5
2450,N,U,less_15
2451,N,U,less_5
2452,N,U,less_40
2453,N,U,less_5
2454,Y,U,less_40
2455,Y,U,less_15
2456,N,U,less_40
2457,N,U,less_15
2458,N,U,less_5
2459,N,U,less_40
2460,N,F,less_15
2461,N,U,less_5
2462,N,U,less_40
2463,N,U,less_15
2464,N,U,less_40
2465,N,U,less_40
2466,N,U,less_5
2467,N,U,less_40
2468,N,U,less_5
2469,N,U,less_15
2470,N,U,higher_40
2471,N,U,less_5
2472,Y,F,higher_40
2473,Y,F,higher_40
2474,N,U,less_40
2475,N,U,
2476,N,U,less_40
2477,N,U,less_15
2478,N,U,less_5
2479,N,U,less_5
2480,N,F,less_5
2481,N,U,less_40
2482,N,U,less_15
2483,N,F,less_5
2484,N,U,higher_40
2485,Y,F,higher_40
2486,N,U,less_40
2487,Y,F,less_15
2488,N,U,less_40
2489,N,U,less_5
2490,N,U,less_5
2491,Y,U,less_40
2492,N,U,less_5
2493,N,U,less_5
2494,N,U,less_15
2495,N,F,less_5
2496,N,F,less_5
2497,N,U,less_5
2498,N,U,higher_40
2499,N,U,less_5
2500,N,U,less_40
2501,N,U,less_5
2502,N,U,less_5
2503,N,U,less_5
2504,N,U,less_40
2505,N,U,less_15
2506,N,U,less_15
2507,N,U,less_5
2508,N,U,less_40
2509,N,U,less_40
2510,N,U,less_40
2511,N,U,less_40
2512,N,U,less_5
2513,N,U,
2514,S,U,less_5
2515,N,U,higher_40
2516,N,U,less_40
2517,N,U,less_40
2518,N,U,less_5
2519,N,F,less_5
2520,Y,U,
2521,N,U,less_5
2522,Y,U,less_5
2523,N,U,less_40
2524,Y,F,less_5
2525,N,U,less_40
2526,N,U,less_40
2527,N,U,less_40
2528,N,U,less_15
2529,N,U,less_5
2530,N,U,less_40
2531,N,U,less_5
2532,N,U,
2533,N,U,higher_40
2534,N,U,less_40
2535,N,U,less_40
2536,N,U,less_40
2537,N,U,less_5
2538,N,U,less_5
2539,N,U,less_40
2540,N,,
2541,N,U,less_40
2542,R,F,higher_40
2543,N,U,less_15
2544,R,F,higher_40
2545,N,U,less_5
2546,N,F,less_40
2547,N,F,less_40
2548,R,F,less_5
2549,R,U,less_40
2550,R,F,less_40
2551,N,U,less_40
2552,N,U,less_15
2553,N,U,less_40
2554,N,U,less_40
2555,N,U,less_5
2556,N,F,less_5
2557,N,U,less_40
2558,N,U,less_5
2559,N,F,
2560,N,F,less_15
2561,N,U,less_40
2562,N,U,less_15
2563,N,U,less_40
2564,N,F,less_15
2565,N,U,less_5
2566,N,U,less_15
2567,N,U,less_5
2568,N,U,less_15
2569,N,U,less_15
2570,R,U,less_40
2571,N,U,less_5
2572,N,U,less_40
2573,N,U,less_15
2574,N,U,less_40
2575,N,U,less_40
2576,S,U,less_40
2577,S,U,less_15
2578,R,F,less_5
2579,N,U,less_40
2580,N,U,less_15
2581,,U,higher_40
2582,N,U,less_15
2583,N,U,less_40
2584,N,,
2585,N,U,less_40
2586,N,U,less_40
2587,N,,
2588,N,U,less_40
2589,N,U,less_40
2590,N,U,less_40
2591,N,U,less_15
2592,N,F,less_40
2593,N,U,less_5
2594,N,,
2595,N,U,less_40
2596,N,U,less_40
2597,N,F,less_5
2598,N,U,less_5
2599,N,U,less_40
2600,N,,
2601,N,U,less_5
2602,N,U,less_5
2603,N,U,less_15
2604,N,U,less_15
2605,N,F,less_5
2606,N,U,less_15
2607,N,U,less_5
2608,N,U,less_5
2609,N,,
2610,N,,
2611,N,U,higher_40
2612,N,U,less_15
2613,N,U,less_15
2614,N,U,less_40
2615,N,U,less_40
2616,N,U,less_40
2617,N,U,less_40
2618,N,F,less_5
2619,N,U,less_40
2620,N,U,less_40
2621,Y,F,less_40
2622,Y,F,higher_40
2623,Y,F,higher_40
2624,Y,F,less_40
2625,Y,U,higher_40
2626,Y,F,higher_40
2627,Y,U,less_40
2628,Y,F,less_40
2629,Y,U,higher_40
2630,Y,F,higher_40
2631,Y,U,less_40
2632,Y,F,less_40
2633,Y,U,less_40
2634,N,U,less_5
2635,N,U,less_40
2636,N,F,less_40
2637,R,F,higher_40
2638,N,U,less_40
2639,N,F,less_40
2640,N,U,less_15
2641,N,U,less_5
2642,N,U,less_15
2643,R,U,less_40
2644,N,U,less_15
2645,N,U,less_5
2646,N,U,less_40
2647,N,U,less_5
2648,N,U,less_5
2649,N,U,less_5
2650,N,U,less_40
2651,N,U,less_5
2652,N,U,less_5
2653,N,U,less_5
2654,N,U,less_5
2655,N,U,less_40
