,機車等級,使用頻率,使用距離
317,N,U,less_40
318,N,U,less_5
319,N,U,less_5
320,N,U,less_15
321,N,F,less_15
322,N,U,less_40
323,N,U,less_40
324,N,U,less_5
325,R,F,higher_40
326,S,U,less_5
327,S,U,less_5
328,S,,
329,S,U,less_5
330,S,U,less_40
331,N,F,less_5
332,N,U,less_5
333,N,F,less_15
334,Y,U,less_40
335,Y,U,less_40
336,R,F,higher_40
337,R,F,higher_40
338,N,U,less_15
339,R,F,less_15
340,N,U,less_15
341,R,F,higher_40
342,N,U,less_40
343,N,U,
344,R,U,higher_40
345,R,F,less_40
346,S,F,less_15
347,N,U,less_40
348,N,U,less_5
349,N,F,less_5
350,S,U,less_15
351,N,U,less_5
352,N,U,less_15
353,N,U,less_40
354,N,U,less_15
355,N,U,less_40
356,N,U,
357,N,U,less_40
358,N,U,less_40
359,N,U,less_15
360,N,U,less_15
361,N,U,less_40
362,S,U,less_15
363,N,U,less_15
364,Y,U,less_40
365,N,U,less_15
366,N,U,less_40
367,N,U,less_5
368,N,U,less_40
369,N,U,less_40
370,N,U,less_15
371,N,U,less_40
372,N,U,less_5
373,N,U,higher_40
374,N,U,less_40
375,N,F,higher_40
376,N,,
377,R,F,higher_40
378,N,F,less_40
379,N,U,less_40
380,N,,
381,N,U,less_15
382,R,F,less_40
383,N,F,less_5
384,N,U,less_5
385,N,F,less_15
386,N,U,less_40
387,N,U,less_15
388,N,U,less_40
389,N,U,less_5
390,N,U,
391,N,U,less_5
392,N,,
393,N,U,less_40
394,N,U,less_15
395,N,U,less_5
396,N,U,less_5
397,N,U,less_15
398,N,U,less_40
399,N,U,higher_40
400,S,U,less_5
401,S,U,less_15
402,S,F,less_40
403,R,F,higher_40
404,S,F,less_15
405,S,U,less_5
406,N,U,
407,S,F,less_5
408,N,,
409,N,F,less_40
410,N,U,less_5
411,R,U,less_40
412,Y,F,higher_40
413,Y,F,less_40
414,Y,U,less_15
415,Y,U,less_40
416,Y,U,less_5
417,N,U,
418,N,U,less_15
419,N,F,less_40
420,N,U,less_5
421,N,U,less_40
422,S,U,less_5
423,S,U,less_40
424,S,F,less_5
425,S,U,
426,S,U,less_15
427,S,U,less_15
428,N,,
429,S,U,less_15
430,N,U,less_40
431,Y,U,less_40
432,N,U,less_40
433,N,U,less_40
434,N,F,less_5
435,N,U,less_40
436,Y,F,higher_40
437,N,U,less_15
438,N,U,less_40
439,N,U,less_5
440,N,U,less_15
441,N,U,less_5
442,Y,U,higher_40
443,N,F,less_15
444,N,F,less_5
445,N,U,
446,N,U,less_5
447,N,U,less_15
448,N,U,less_40
449,N,U,less_40
450,R,F,higher_40
451,N,U,less_40
452,N,F,less_5
453,N,,
454,N,U,less_40
455,N,U,less_40
456,N,U,less_5
